recv() Error  [ErrorCode:10054] [Line:227]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
send() error  [ErrorCode:10054] [Line:382]
